,P,I,D,P_pbest,I_pbest,D_pbest,P_gbest,I_gbest,D_gbest,V_p,V_i,V_d,erro,erro_gbest
0,76.11797404339657,77.18296949195688,82.23312686484388,76.11797404339657,77.18296949195688,82.23312686484388,76.11797404339657,77.18296949195688,82.23312686484388,50.78536889976734,23.948653772902254,67.48614931146052,1.3119511351096502,1.3119511351096502
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.17786047826773,-7.674365690541624,33.75889178605161,1.1555109937541916,1.1555109937541916
2,100.0,92.32563430945838,100.0,100.0,92.32563430945838,100.0,100.0,45.64836090916872,100.0,21.883395358700795,2.866685776571386,25.319168839538712,1.1551430878708278,1.1503372932700113
3,100.0,95.19232008602977,100.0,100.0,92.32563430945838,100.0,100.0,45.64836090916872,100.0,16.412546519025597,-17.536539897043234,18.989376629654032,1.1552873345207408,1.1503372932700113
4,100.0,77.65578018898654,100.0,100.0,77.65578018898654,100.0,100.0,45.64836090916872,100.0,12.309409889269197,-13.135947766309798,14.242032472240524,1.1542418094826927,1.1503372932700113
5,100.0,64.51983242267674,100.0,100.0,64.51983242267674,100.0,100.0,38.917250359392284,100.0,9.232057416951898,-6.3840213967222645,10.681524354180393,1.153095931553628,1.1487335313945894
6,100.0,58.13581102595448,100.0,100.0,58.13581102595448,100.0,100.0,32.58642166615106,100.0,6.924043062713924,-6.646790116414327,8.011143265635294,1.1523574053221763,1.1466511733047595
7,100.0,51.48902090954015,100.0,100.0,51.48902090954015,100.0,100.0,32.58642166615106,100.0,5.193032297035443,-6.52987130078621,6.00835744922647,1.1514001663335047,1.1466511733047595
8,100.0,44.95914960875394,100.0,100.0,44.95914960875394,100.0,100.0,32.58642166615106,100.0,3.894774222776582,-4.2288460322873185,4.506268086919853,1.1501943297600647,1.1466511733047595
9,100.0,40.730303576466625,100.0,100.0,40.730303576466625,100.0,100.0,31.740883929893915,100.0,2.9210806670824363,-2.7849166890612107,3.3797010651898898,1.1492155403927036,1.1463134593741737
10,100.0,37.94538688740541,100.0,100.0,37.94538688740541,100.0,100.0,30.9456281511736,100.0,2.1908105003118274,-2.1307982842958113,2.5347757988924173,1.1484570249119148,1.1459798906583916
11,100.0,35.8145886031096,100.0,100.0,35.8145886031096,100.0,100.0,30.9456281511736,100.0,1.6431078752338706,-1.6732719026903804,1.901081849169313,1.1478007047876926,1.1459798906583916
12,100.0,34.14131670041922,100.0,100.0,34.14131670041922,100.0,100.0,30.9456281511736,100.0,1.2323309064254029,-1.092523312286979,1.4258113868769848,1.1472306765670812,1.1459798906583916
13,100.0,33.04879338813224,100.0,100.0,33.04879338813224,100.0,100.0,30.839414762142486,100.0,0.9242481798190522,-0.7191986543505559,1.0693585401577386,1.1468289074974711,1.1459341075119036
14,100.0,32.32959473378168,100.0,100.0,32.32959473378168,100.0,100.0,30.7395176105637,100.0,0.6931861348642891,-0.5107231551895615,0.802018905118304,1.1465503665881494,1.1458907738569541
15,100.0,31.81887157859212,100.0,100.0,31.81887157859212,100.0,100.0,30.7395176105637,100.0,0.5198896011482168,-0.3701344796908659,0.6015141788387279,1.1463453203461804,1.1458907738569541
16,100.0,31.448737098901255,100.0,100.0,31.448737098901255,100.0,100.0,30.7395176105637,100.0,0.3899172008611626,-0.24248906181716723,0.45113563412904595,1.1461927756009014,1.1458907738569541
17,100.0,31.206248037084087,100.0,100.0,31.206248037084087,100.0,100.0,30.72617546919528,100.0,0.29243790064587194,-0.1596023991261007,0.33835172559678445,1.146090980330288,1.14588496609095
18,100.0,31.046645637957987,100.0,100.0,31.046645637957987,100.0,100.0,30.71362675070673,100.0,0.21932842548440395,-0.1097308262037845,0.2537637941975883,1.1460231590377077,1.145879499342675
