,P,I,D,P_pbest,I_pbest,D_pbest,P_gbest,I_gbest,D_gbest,V_p,V_i,V_d,erro,erro_gbest,I
0,5.791313369471132,3.91392049331351,6.7893161964974755,5.791313369471132,3.91392049331351,6.7893161964974755,0.09038785900023072,0.4168065391582033,0.2396099208530983,0.0,0.0,0.0,8.836430886569019,0.6277845198775911,0.0
1,4.235210390209475,2.433564402862233,5.085680867607365,4.235210390209475,2.433564402862233,5.085680867607365,0.12507903498195275,0.6182898753214005,0.687738480141179,-1.556102979261657,-1.4803560904512774,-1.7036353288901107,8.387916507018117,0.6082524785482215,0.4485143795509021
2,1.9462473084075453,0.5548772212058894,2.664011465656814,1.9462473084075453,0.5548772212058894,2.664011465656814,0.12507903498195275,0.6182898753214005,0.687738480141179,-2.2889630818019295,-1.8786871816563435,-2.4216694019505507,7.214954005871835,0.6082524785482215,1.1729625011462819
3,0.001,0.001,0.3337136942849832,0.001,0.001,0.3337136942849832,0.12507903498195275,0.6182898753214005,0.687738480141179,-2.213821487758733,-1.3821723065021663,-2.3302977713718307,6.992284907523619,0.6082524785482215,0.22266909834821647
4,0.001,0.001,0.001,0.001,0.001,0.3337136942849832,0.12507903498195275,0.6182898753214005,0.687738480141179,-1.6264979735946519,-0.7753255267416016,-1.655638415541224,6.995319646502147,0.6082524785482215,-0.0030347389785285728
5,0.001,0.001,0.001,0.001,0.001,0.3337136942849832,0.12507903498195275,0.6182898753214005,0.687738480141179,-1.186005337971591,-0.3201904419211782,-0.8195694111893821,6.995319646502147,0.6082524785482215,-0.0030347389785285728
6,0.001,0.02216087169413941,0.001,0.001,0.02216087169413941,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-0.855635861254295,0.02116087169413941,-0.19251765792550066,1.5438056959095823,0.6082524785482215,5.448479211614036
7,0.001,0.2903776636755654,0.03523838303947349,0.001,0.02216087169413941,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-0.6078587537163231,0.268216791981426,0.03423838303947349,6.313775277959832,0.6082524785482215,-4.7699695820502495
8,0.001,0.4236109395501333,0.2055770051497315,0.001,0.02216087169413941,0.001,0.13145314090494317,0.5858460459947865,0.6323256403762872,-0.4220259230628442,0.1332332758745679,0.17033862211025802,6.264078744485748,0.5484603544460231,-4.720273048576166
9,0.001,0.2827800934537953,0.2945900132023835,0.001,0.02216087169413941,0.001,0.13145314090494317,0.5858460459947865,0.6323256403762872,-0.28091144832433435,-0.14083084609633803,0.08901300805265198,6.315419519469228,0.5484603544460231,-4.771613823559646
10,0.001,0.10456610619635937,0.23430188642043961,0.001,0.02216087169413941,0.001,0.28830568921140876,0.40875040643322796,0.08541134054469479,-0.17507559227045194,-0.17821398725743592,-0.06028812678194387,6.134662959541456,0.26585806022338226,-4.590857263631873
11,0.001,0.03615262384310661,0.001,0.001,0.02216087169413941,0.001,0.27893648835309776,0.4640387624476119,0.001,-0.05288482425916943,-0.06841348235325276,-0.2547112247914392,3.2112619911630382,0.20844781480504312,-1.667456295253456
12,0.037200870260595494,0.15518549435327147,0.001,0.037200870260595494,0.15518549435327147,0.001,0.2719095877093645,0.5055050294583998,0.001,0.03620087026059549,0.11903287051016487,-0.19103341859357942,1.2216465871212911,0.20030016300430525,0.3221591087882911
13,0.1284167232134199,0.3927531866379237,0.001,0.1284167232134199,0.3927531866379237,0.001,0.26663941222656456,0.5366047297164908,0.001,0.09121585295282442,0.23756769228465222,-0.14327506394518458,0.5450784359720786,0.1934570308934241,0.6765681511492125
14,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,0.10614063003579213,0.23906926902756867,-0.10745629795888843,0.2617717372231176,0.1692915648982389,0.28330669874896103
15,0.31416282577605614,0.8111244074361689,0.001,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,0.0796054725268441,0.1793019517706765,-0.08059222346916632,0.4879837884511216,0.1692915648982389,-0.22621205122800403
16,0.3405420527902553,0.731497891362704,0.001,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,0.02637922701419914,-0.0796265160734648,-0.06044416760187474,0.4147595925617746,0.1692915648982389,-0.152987855338657
17,0.3159585796844106,0.5527563896793104,0.001,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,-0.024583473105844706,-0.1787415016833936,-0.04533312570140605,0.2850975078951333,0.1692915648982389,-0.02332577067201569
18,0.2634443491720896,0.5131123998690159,0.001,0.23455735324921204,0.6318224556654923,0.001,0.23455735324921204,0.6318224556654923,0.001,-0.052514230512321014,-0.03964398981029453,-0.03399984427605454,0.31880451670081134,0.1692915648982389,-0.05703277947769375
19,0.21196584439480515,0.6251301048087923,0.001,0.21196584439480515,0.6251301048087923,0.001,0.21196584439480515,0.6251301048087923,0.001,-0.05147850477728444,0.11201770493977642,-0.025499883207040906,0.24983868670360024,0.16296749716119174,0.011933050519517346
20,0.17335696581184182,0.7091433835136246,0.001,0.21196584439480515,0.6251301048087923,0.001,0.21196584439480515,0.6251301048087923,0.001,-0.03860887858296333,0.08401327870483231,-0.019124912405280678,0.6033612530158955,0.16296749716119174,-0.3535225663122953
21,0.16056296634704123,0.6718337802376336,0.001,0.21196584439480515,0.6251301048087923,0.001,0.21196584439480515,0.6251301048087923,0.001,-0.012793999464800582,-0.037309603275990984,-0.014343684303960508,0.5726959548518614,0.16296749716119174,-0.3228572681482612
22,0.17248602010406827,0.5880831046384455,0.001,0.17248602010406827,0.5880831046384455,0.001,0.17248602010406827,0.5880831046384455,0.001,0.011923053757027055,-0.08375067559918814,-0.010757763227970382,0.21279326112760433,0.14181371697950698,0.03704542557599591
23,0.18142831042183857,0.5252700979390543,0.001,0.17248602010406827,0.5880831046384455,0.001,0.20541070177782175,0.6200175258203209,0.001,0.008942290317770291,-0.0628130066993911,-0.008068322420977787,0.35285779134427414,0.121534729689208,-0.1400645302166698
24,0.19337855386704805,0.5666829294160802,0.001,0.17248602010406827,0.5880831046384455,0.001,0.20541070177782175,0.6200175258203209,0.001,0.011950243445209473,0.04141283147702592,-0.00605124181573334,0.3053870058792239,0.121534729689208,-0.09259374475161958
25,0.20258208602461475,0.6368144194533422,0.001,0.20258208602461475,0.6368144194533422,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0092035321575667,0.07013149003726193,-0.004538431361800005,0.1848377758369217,0.121534729689208,0.02795548529068262
26,0.21025682335770635,0.6823027786035883,0.001,0.20258208602461475,0.6368144194533422,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0076747373330916056,0.04548835915024617,-0.0034038235213500034,0.4916878684123321,0.121534729689208,-0.3068500925754104
27,0.21357212414278515,0.654991515578347,0.001,0.20258208602461475,0.6368144194533422,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0033153007850787995,-0.02731126302524134,-0.0025528676410125025,0.45244435087289087,0.121534729689208,-0.2676065750359692
28,0.21222997820791445,0.6056926895585893,0.001,0.20258208602461475,0.6368144194533422,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.0013421459348707022,-0.0492988260197577,-0.001914650730759377,0.27296547880616273,0.121534729689208,-0.08812770296924102
29,0.2079566036895181,0.5987705123245303,0.001,0.20258208602461475,0.6368144194533422,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.00427337451839634,-0.006922177234059061,-0.0014359880480695328,0.2774968664482283,0.121534729689208,-0.09265909061130659
30,0.20327375109764567,0.6318965363503457,0.001,0.20327375109764567,0.6318965363503457,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.0046828525918724394,0.03312602402581538,-0.0010769910360521496,0.1835884650608003,0.121534729689208,0.0012493107761214206
31,0.20034490559677737,0.6517125749386146,0.001,0.20327375109764567,0.6318965363503457,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.0029288455008683067,0.01981603858826887,-0.0008077432770391122,0.45890162978792565,0.121534729689208,-0.27531316472712536
32,0.19995765470282537,0.6378839564148964,0.001,0.20327375109764567,0.6318965363503457,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.0003872508939520062,-0.013828618523718193,-0.0006058074577793342,0.18773829570517572,0.121534729689208,-0.004149830644375435
33,0.20163871284682955,0.6153344842371311,0.001,0.20163871284682955,0.6153344842371311,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0016810581440041925,-0.02254947217776527,-0.0004543555933345006,0.1835422234692441,0.121534729689208,4.624159155619534e-05
34,0.20392909423009448,0.6004047487713406,0.001,0.20163871284682955,0.6153344842371311,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0022903813832649417,-0.014929735465790479,-0.0003407666950008755,0.2719877797971668,0.121534729689208,-0.08844555632792273
35,0.20571765608767037,0.6090172896667805,0.001,0.20163871284682955,0.6153344842371311,0.001,0.20541070177782175,0.6200175258203209,0.001,0.0017885618575758976,0.008612540895439799,-0.0002555750212506566,0.26298413151178923,0.121534729689208,-0.07944190804254514
36,0.20638111577452573,0.6250023738738161,0.001,0.20638111577452573,0.6250023738738161,0.001,0.20638111577452573,0.6250023738738161,0.001,0.0006634596868553534,0.015985084207035604,-0.00019168126593799244,0.18017043658700974,0.12152587329063987,0.0033717868822343566
