,P,I,D,P_pbest,I_pbest,D_pbest,P_gbest,I_gbest,D_gbest,V_p,V_i,V_d,erro,erro_gbest,I
0,14.400375132007856,40.53895950126682,39.668974602080475,14.400375132007856,40.53895950126682,39.668974602080475,0.09038785900023072,0.4168065391582033,0.2396099208530983,0.0,0.0,0.0,10.01383002089394,0.6277845198775911,0.0
1,10.494375345161979,23.554933736564067,29.41305535324023,10.494375345161979,23.554933736564067,29.41305535324023,0.12507903498195275,0.6182898753214005,0.687738480141179,-3.905999786845877,-16.98402576470275,-10.255919248840245,9.61552914438564,0.6082524785482215,0.3983008765082996
2,4.734511759442475,1.10765103768788,14.249412209750282,4.734511759442475,1.10765103768788,14.249412209750282,0.12507903498195275,0.6182898753214005,0.687738480141179,-5.759863585719504,-22.447282698876187,-15.16364314348995,8.554173961186544,0.6082524785482215,1.0613551831990957
3,0.001,0.001,0.001,0.001,0.001,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-5.578070942398266,-17.042612487835555,-14.900241151493862,6.995319646502147,0.6082524785482215,1.558854314684397
4,0.001,0.001,0.001,0.001,0.001,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-4.149685064574301,-12.520655662741643,-10.996554237136799,6.995319646502147,0.6082524785482215,0.0
5,0.001,0.001,0.001,0.001,0.001,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-3.078395656206328,-9.129188043921207,-8.068789051369,6.995319646502147,0.6082524785482215,0.0
6,0.001,0.001,0.001,0.001,0.001,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-2.2749285999303477,-6.5855873298058825,-5.872965162043151,6.995319646502147,0.6082524785482215,0.0
7,0.001,0.001,0.001,0.001,0.001,0.001,0.12507903498195275,0.6182898753214005,0.687738480141179,-1.6723283077233626,-4.677886794219389,-4.226097245048765,6.995319646502147,0.6082524785482215,0.0
8,0.001,0.001,0.001,0.001,0.001,0.001,0.13145314090494317,0.5858460459947865,0.6323256403762872,-1.220378088568124,-3.2471113925295185,-2.9909463073029743,6.995319646502147,0.5484603544460231,0.0
9,0.001,0.001,0.001,0.001,0.001,0.001,0.13145314090494317,0.5858460459947865,0.6323256403762872,-0.8796755724532942,-2.1877635716955055,-2.078996463543608,6.995319646502147,0.5484603544460231,0.0
10,0.001,0.001,0.001,0.001,0.001,0.001,0.28830568921140876,0.40875040643322796,0.08541134054469479,-0.6241486853671718,-1.3932527060699957,-1.395034080724083,6.995319646502147,0.26585806022338226,0.0
11,0.001,0.001,0.001,0.001,0.001,0.001,0.27893648835309776,0.4640387624476119,0.001,-0.38968964408170936,-0.872335546536676,-1.0243194397860642,6.995319646502147,0.20844781480504312,0.0
12,0.001,0.001,0.001,0.001,0.001,0.001,0.2719095877093645,0.5055050294583998,0.001,-0.21640274460630943,-0.4582436770085349,-0.7682395798395482,6.995319646502147,0.20030016300430525,0.0
13,0.001,0.001,0.001,0.001,0.001,0.001,0.26663941222656456,0.5366047297164908,0.001,-0.08835560611628221,-0.13012177495381566,-0.5761796848796611,6.995319646502147,0.1934570308934241,0.0
14,0.0072412206638461365,0.13013440151868383,0.001,0.0072412206638461365,0.13013440151868383,0.001,0.23455735324921204,0.6318224556654923,0.001,0.0062412206638461365,0.12913440151868383,-0.4321347636597458,1.2484106253170197,0.1692915648982389,5.746909021185127
15,0.07396948452659433,0.4393537374549176,0.001,0.07396948452659433,0.4393537374549176,0.001,0.23455735324921204,0.6318224556654923,0.001,0.06672826386274819,0.3092193359362338,-0.32410107274480937,0.4319878749372698,0.1692915648982389,0.8164227503797499
16,0.1678491372712183,0.7527417752882521,0.001,0.07396948452659433,0.4393537374549176,0.001,0.23455735324921204,0.6318224556654923,0.001,0.09387965274462397,0.3133880378333345,-0.24307580455860703,0.6883623639748454,0.1692915648982389,-0.2563744890375756
17,0.24279191906774833,0.6950422715826297,0.001,0.07396948452659433,0.4393537374549176,0.001,0.23455735324921204,0.6318224556654923,0.001,0.07494278179653002,-0.05769950370562254,-0.18230685341895528,0.4683745751589478,0.1692915648982389,-0.036386700221678
18,0.27215909131389,0.42792561260475326,0.001,0.27215909131389,0.42792561260475326,0.001,0.23455735324921204,0.6318224556654923,0.001,0.029367172246141656,-0.2671166589778764,-0.13673014006421647,0.34641794621757055,0.1692915648982389,0.08556992871969926
19,0.28392084286112534,0.3138992701970118,0.001,0.27215909131389,0.42792561260475326,0.001,0.21196584439480515,0.6251301048087923,0.001,0.011761751547235364,-0.11402634240774144,-0.10254760504816235,0.49678243993141025,0.16296749716119174,-0.1503644937138397
20,0.2713882677876898,0.44801565380662023,0.001,0.2713882677876898,0.44801565380662023,0.001,0.21196584439480515,0.6251301048087923,0.001,-0.012532575073435533,0.13411638360960842,-0.07691070378612176,0.34018206428091385,0.16296749716119174,0.006235881936656695
21,0.2457691174375598,0.6235768942317412,0.001,0.2457691174375598,0.6235768942317412,0.001,0.21196584439480515,0.6251301048087923,0.001,-0.02561915035013001,0.17556124042512103,-0.057683027839591325,0.26866380134488493,0.16296749716119174,0.07151826293602892
22,0.21732794162609634,0.7559053109143761,0.001,0.2457691174375598,0.6235768942317412,0.001,0.17248602010406827,0.5880831046384455,0.001,-0.028441175811463472,0.1323284166826348,-0.04326227087969349,0.5700238174063383,0.14181371697950698,-0.3013600160614534
23,0.1879001840414388,0.6821145510383261,0.001,0.2457691174375598,0.6235768942317412,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.029427757584657547,-0.07379075987604995,-0.03244670315977012,0.5286927323747416,0.121534729689208,-0.26002893102985664
24,0.17903869470321052,0.5553654396568122,0.001,0.2457691174375598,0.6235768942317412,0.001,0.20541070177782175,0.6200175258203209,0.001,-0.008861489338228279,-0.12674911138151385,-0.02433502736982759,0.3129687623876202,0.121534729689208,-0.04430496104273529
25,0.18931155158092097,0.5402476318298184,0.001,0.2457691174375598,0.6235768942317412,0.001,0.20541070177782175,0.6200175258203209,0.001,0.010272856877710457,-0.015117807826993741,-0.018251270527370692,0.33434984128542283,0.121534729689208,-0.0656860399405379
26,0.20963468870711122,0.6269053511493413,0.001,0.20963468870711122,0.6269053511493413,0.001,0.20541070177782175,0.6200175258203209,0.001,0.020323137126190237,0.0866577193195229,-0.01368845289552802,0.23706201610465324,0.121534729689208,0.03160178524023169
27,0.22372407811924508,0.6889829695143224,0.001,0.20963468870711122,0.6269053511493413,0.001,0.20541070177782175,0.6200175258203209,0.001,0.014089389412133857,0.06207761836498109,-0.010266339671646016,0.48266964543717705,0.121534729689208,-0.2456076293325238
