,P,I,D,P_pbest,I_pbest,D_pbest,P_gbest,I_gbest,D_gbest,V_p,V_i,V_d,erro,erro_gbest
0,97.05881800160243,16.11058898604598,97.70070406872561,97.05881800160243,16.11058898604598,97.70070406872561,40.00498174328522,19.634488458681904,12.086219207570107,89.92025470375826,99.00410725133351,88.02033614860602,123.40229614129434,112.17442109539049
1,100.0,100.0,100.0,100.0,100.0,100.0,96.30159554761755,55.43118108799207,13.752114153290263,53.3650742663408,-18.756984728188836,45.276315323025045,123.28786756704433,111.68231244941164
2,100.0,81.24301527181116,100.0,100.0,100.0,100.0,100.0,42.059669519913655,13.421073855935273,39.18255367025377,-8.7154536887162,15.262384745388953,123.29508926096312,111.3427110897322
3,100.0,72.52756158309496,100.0,100.0,100.0,100.0,100.0,42.059669519913655,13.421073855935273,29.386915252690326,3.890969943491683,-7.319818561555845,123.2997185992516,111.3427110897322
4,100.0,76.41853152658665,92.68018143844415,100.0,76.41853152658665,92.68018143844415,100.0,33.29042298389231,0.9948828120879014,22.040186439517743,8.974125666530139,-17.312040661033375,123.13312418714959,46.657457746970216
5,100.0,85.39265719311679,75.36814077741077,100.0,85.39265719311679,75.36814077741077,100.0,33.29042298389231,0.9948828120879014,16.53013982963831,-18.56592417752404,-16.433267441498586,122.61674675537233,46.657457746970216
6,100.0,66.82673301559275,58.93487333591219,100.0,66.82673301559275,58.93487333591219,100.0,33.29042298389231,0.9948828120879014,12.397604872228731,-11.444284594976693,-12.855384145954163,121.87159155403975,46.657457746970216
7,100.0,55.38244842061606,46.079489189958025,100.0,55.38244842061606,46.079489189958025,100.0,32.16209469539997,0.7769557217079326,9.298203654171548,-7.555252290757262,-10.004338160237058,120.93039004391724,39.88811664976875
8,100.0,47.8271961298588,36.07515102972097,100.0,47.8271961298588,36.07515102972097,100.0,32.16209469539997,0.7769557217079326,6.973652740628661,-5.368941236320979,-7.8316271304236995,119.75439676917989,39.88811664976875
9,100.0,42.45825489353782,28.243523899297273,100.0,42.45825489353782,28.243523899297273,100.0,32.16209469539997,0.7769557217079326,5.2302395554714955,-3.5204515719585627,-6.094867487265323,118.28586649165558,39.88811664976875
10,100.0,38.93780332157926,22.14865641203195,100.0,38.93780332157926,22.14865641203195,100.0,32.541535599408355,0.6311752104021363,3.9226796666036217,-2.317007647506655,-4.742428042456251,116.47564317891877,34.71888884477159
11,100.0,36.6207956740726,17.4062283695757,100.0,36.6207956740726,17.4062283695757,100.0,32.541535599408355,0.6311752104021363,2.9420097499527165,-1.3908297327335113,-3.7216721175215404,114.26788191807145,34.71888884477159
12,100.0,35.22996594133909,13.68455625205416,100.0,35.22996594133909,13.68455625205416,100.0,32.541535599408355,0.6311752104021363,2.206507312464537,-0.9194548480915261,-2.896557339906663,111.58041097671465,34.71888884477159
13,100.0,34.31051109324756,10.787998912147497,100.0,34.31051109324756,10.787998912147497,100.0,32.41393497013841,0.5652282062093252,1.6548804843484028,-0.6049080336378776,-2.253821712777169,108.37603679822583,32.175492649781226
14,100.0,33.705603059609686,8.534177199370328,100.0,33.705603059609686,8.534177199370328,100.0,32.293922422567846,0.21118325633768276,1.2411603632613022,-0.44307216995258414,-1.767988468038691,104.62047318663784,16.180149467866723
15,100.0,33.2625308896571,6.766188731331637,100.0,33.2625308896571,6.766188731331637,100.0,32.293922422567846,0.21118325633768276,0.9308702724459766,-0.33247431675266365,-1.4527410747429195,100.26516847200183,16.180149467866723
16,100.0,32.930056572904434,5.313447656588718,100.0,32.930056572904434,5.313447656588718,100.0,32.293922422567846,0.21118325633768276,0.6981527043344825,-0.21749044699744555,-1.1321615749860163,95.03328622908415,16.180149467866723
17,100.0,32.71256612590699,4.1812860816027015,100.0,32.71256612590699,4.1812860816027015,100.0,32.27789369351637,0.20358889605517635,0.5236145282508619,-0.1431590558561169,-0.8809737988907399,89.15965660963607,15.80463616486104
18,100.0,32.56940707005087,3.3003122827119618,100.0,32.56940707005087,3.3003122827119618,100.0,32.262818151814166,0.16281759888349578,0.39271089618814636,-0.09985788149140326,-0.6871308165597316,82.75469634749169,13.816419526868227
19,100.0,32.46954918855947,2.61318146615223,100.0,32.46954918855947,2.61318146615223,100.0,32.262818151814166,0.16281759888349578,0.29453317214110974,-0.07085031361835949,-0.543530599194796,75.95978437276662,13.816419526868227
